lat,lon,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,nbr_丰台区 ,nbr_大兴区 ,nbr_密云县 ,nbr_平谷区 ,nbr_延庆县 ,nbr_怀柔区 ,nbr_房山区,nbr_昌平区,nbr_朝阳区 ,nbr_海淀区,nbr_石景山区,nbr_西城区,nbr_通州区 ,nbr_门头沟区 ,nbr_顺义区 ,rt_Private room,rt_Shared room
39.89503,116.45163,792,1,89,0.85,9,341,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40.68434,117.17231,1201,1,2,0.1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.93213,116.422,389,3,259,2.7,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.93357,116.43577,376,1,26,0.28,5,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.93668,116.43798,537,1,37,0.4,5,352,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.93958,116.43485,403,1,29,0.33,7,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.93712,116.45089,637,3,107,1.26,1,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.94115,116.44122,416,1,3,0.03,9,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.94032,116.44227,416,1,37,0.43,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.93943,116.43362,396,1,34,0.43,7,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.93946,116.43545,550,1,3,0.04,7,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.93849,116.44066,436,1,11,0.13,9,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.89403,116.44896,859,1,4,0.07,9,365,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.91342,116.41837,906,1,155,1.85,1,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.93848,116.44248,436,1,8,0.1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.93967,116.44128,483,1,5,0.06,9,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.93516,116.43682,376,1,4,0.06,5,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.94059,116.44175,416,2,15,0.18,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.93879,116.4412,416,1,8,0.1,9,361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39.94956,116.34887,396,1,1,0.01,1,347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39.90133,116.48154,429,1,7,0.16,9,354,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.85983,116.3892,302,12,24,0.32,1,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.94612,116.34326,1060,2,69,0.9,1,157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39.89854,116.48338,409,1,2,0.04,9,355,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39.939,116.39128999999998,289,1,117,1.55,4,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.93923,116.39094,262,2,110,1.45,4,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.93946,116.39161,242,2,186,2.46,4,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40.68602,117.17304,678,1,4,0.16,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.94632,116.39265,664,1,12,0.17,2,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.1044,116.54955,617,1,0,0.0,2,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
