school_name,n_places_0,vacancy_rate_0,n_places_1,vacancy_rate_1,n_places_2,vacancy_rate_2,n_places_3,vacancy_rate_3,lat,lon
nanyang primary school,71.0,0.05128205128205128,7.0,0.05128205128205128,0.0,0.05897435897435897,19.0,0.05128205128205128,1.32111548993736,103.806468059795
tao nan school,71.0,0.075,7.0,0.125,0.0,0.15833333333333333,19.0,0.11666666666666667,1.30463152903461,103.911204232146
ai tong school,71.0,0.060606060606060615,7.0,0.10606060606060606,0.0,0.08484848484848485,19.0,0.060606060606060615,1.36073636488519,103.833075654586
pei chun public school,71.0,0.14166666666666666,7.0,0.2388888888888889,0.0,0.18787878787878787,19.0,0.06666666666666668,1.33677864390672,103.855341310212
henry park primary school,71.0,0.06666666666666668,7.0,0.08,0.0,0.15666666666666668,19.0,0.07333333333333332,1.31672581051651,103.78420830194
maha bodhi school,71.0,0.15454545454545454,7.0,0.2818181818181818,0.0,0.21515151515151515,19.0,0.09090909090909093,1.32847086631011,103.901298737042
rosyth school,71.0,0.12,7.0,0.21666666666666667,0.0,0.10333333333333332,19.0,0.06666666666666668,1.37291579617883,103.874693245991
pei hwa presbyterian primary school,71.0,0.16333333333333333,7.0,0.11851851851851852,0.0,0.14074074074074075,19.0,0.07777777777777778,1.33806704395876,103.776191458102
rulang primary school,71.0,0.07777777777777778,7.0,0.1037037037037037,0.0,0.2037037037037037,19.0,0.1037037037037037,1.34684445616169,103.719009824408
chongfu school,71.0,0.18666666666666668,7.0,0.2766666666666667,0.0,0.2466666666666667,19.0,0.12,1.43846230429528,103.839070714229
nan chiau primary school,71.0,0.2,7.0,0.2433333333333333,0.0,0.23666666666666664,19.0,0.17333333333333334,1.39206468503473,103.890924976943
fairfield methodist school (primary),71.0,0.1111111111111111,7.0,0.08518518518518517,0.0,0.1259259259259259,19.0,0.12222222222222222,1.30100441916733,103.785455606827
mee toh school,71.0,0.22333333333333333,7.0,0.36666666666666653,0.0,0.4,19.0,0.275,1.3948535630087,103.908572571105
south view primary school,71.0,0.14444444444444446,7.0,0.2629629629629629,0.0,0.22962962962962966,19.0,0.07407407407407407,1.3817667245464,103.747289784172
kong hwa school,71.0,0.17037037037037034,7.0,0.1925925925925926,0.0,0.2074074074074074,19.0,0.08888888888888889,1.31111421924857,103.888209412231
nan hua primary school,71.0,0.08333333333333333,7.0,0.16666666666666666,0.0,0.10833333333333334,19.0,0.125,1.31983663784768,103.761403957527
catholic high school,71.0,0.08333333333333333,7.0,0.09166666666666666,0.0,0.1,19.0,0.0875,1.35438878373608,103.844210670766
red swastika school,71.0,0.08333333333333333,7.0,0.3,0.0,0.13333333333333333,19.0,0.10833333333333334,1.3334938298266,103.934374884855
